taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_Q5_3						MF002387		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_2_Q5_1						MF002393		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_2_Q5_3						MF002394		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_2_Q5_6						MF002395		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_9						MF002401		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_Q5_1						MF002396		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_Q5_16						MF002399		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_Q5_17						MF002400		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_Q5_7						MF002397		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_3_Q5_8						MF002398		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain CY2018110502						MT175502		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain CY2018110503						MT175503		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Greenwood-1991						M97909		
