taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;strain Moreira-1998						AF056102		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Obertrumia	genus		Foissner & Adam 1981					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Obertrumia;Obertrumia georgiana	species		(Dragesco 1972) Foissner & Adam 1981	Nassula georgiana				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Obertrumia;Obertrumia georgiana;strain Bernhard-1992						X65149; AJ004695-AJ004697		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Obertrumia;Obertrumia kahli	species		Foissner 1989					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Rhinakis	genus		Deroux 1994					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Rhinakis;Rhinakis faurei	species		Deroux 1994					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;'AB695449 lineage'	genus	true				AB695449; AB695498		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;strain K3-0130-2						AB684393		sequence too short for correct identification of the isolate
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';strain NAS-uniden-spec-01						FJ905157		no 18S data for this isolate
